timestamp,joint_7,bracelet_link.x,bracelet_link.y,bracelet_link.z,bracelet_link.x_hat,bracelet_link.y_hat,bracelet_link.z_hat
78.4,-0.9199,-0.02364,0.04084,0.03948,0.38423,-0.66376,-0.64171
78.451,-0.91367,-0.02364,0.04084,0.03948,0.38423,-0.66376,-0.64171
78.502,-0.90744,-0.02364,0.04084,0.03948,0.38423,-0.66376,-0.64171
78.553,-0.90121,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.64171
78.604,-0.89498,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
78.655,-0.88874,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
78.706,-0.88251,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
78.757,-0.87629,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
78.808,-0.87005,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
78.859,-0.86382,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
78.91,-0.85759,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
78.961,-0.85136,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
79.012,-0.84513,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
79.063,-0.8389,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
79.114,-0.83266,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
79.165,-0.82643,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
79.216,-0.8202,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
79.267,-0.81397,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.6417
79.318,-0.80774,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.64169
79.369,-0.80151,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.64169
79.42,-0.79528,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.64169
79.471,-0.78905,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.64169
79.522,-0.78282,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.64169
79.573,-0.77659,-0.02364,0.04084,0.03948,0.38423,-0.66377,-0.64169
79.624,-0.77035,-0.02364,0.04084,0.03948,0.38424,-0.66377,-0.64169
79.675,-0.76412,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64169
79.726,-0.75789,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64169
79.777,-0.75166,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64169
79.828,-0.74543,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64169
79.879,-0.7392,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64169
79.93,-0.73297,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64169
79.981,-0.72674,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64169
80.032,-0.72051,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.083,-0.71428,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.134,-0.70804,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.185,-0.70181,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.236,-0.69558,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.287,-0.68935,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.338,-0.68312,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.389,-0.67689,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.44,-0.67066,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.491,-0.66443,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.542,-0.65819,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.593,-0.65196,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.644,-0.64573,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.695,-0.6395,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64168
80.746,-0.63327,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64167
80.797,-0.62704,-0.02364,0.04084,0.03948,0.38424,-0.66378,-0.64167
80.848,-0.62081,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
80.899,-0.61458,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
80.95,-0.60833,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
81.001,-0.60211,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
81.052,-0.59588,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
81.103,-0.58965,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
81.154,-0.58342,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
81.205,-0.57719,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
81.256,-0.57096,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
81.307,-0.56472,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
81.358,-0.55849,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
81.409,-0.55226,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64167
81.46,-0.54603,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64166
81.511,-0.5398,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64166
81.561,-0.53357,-0.02364,0.04084,0.03948,0.38425,-0.66379,-0.64166
