timestamp,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,shoulder_link.x,shoulder_link.y,shoulder_link.z,shoulder_link.x_hat,shoulder_link.y_hat,shoulder_link.z_hat,half_arm_1_link.x,half_arm_1_link.y,half_arm_1_link.z,half_arm_1_link.x_hat,half_arm_1_link.y_hat,half_arm_1_link.z_hat,half_arm_2_link.x,half_arm_2_link.y,half_arm_2_link.z,half_arm_2_link.x_hat,half_arm_2_link.y_hat,half_arm_2_link.z_hat,forearm_link.x,forearm_link.y,forearm_link.z,forearm_link.x_hat,forearm_link.y_hat,forearm_link.z_hat,spherical_wrist_1_link.x,spherical_wrist_1_link.y,spherical_wrist_1_link.z,spherical_wrist_1_link.x_hat,spherical_wrist_1_link.y_hat,spherical_wrist_1_link.z_hat,spherical_wrist_2_link.x,spherical_wrist_2_link.y,spherical_wrist_2_link.z,spherical_wrist_2_link.x_hat,spherical_wrist_2_link.y_hat,spherical_wrist_2_link.z_hat,bracelet_link.x,bracelet_link.y,bracelet_link.z,bracelet_link.x_hat,bracelet_link.y_hat,bracelet_link.z_hat
13.69500,0.00002,-0.00004,0.00001,-0.00006,-0.00011,-0.84544,0.66842,-0.12582,-0.02487,0.97406,-0.00000,0.00001,-1.00000,-0.12582,-0.01949,0.84568,0.00002,1.00000,0.00001,-0.12581,-0.01312,0.63530,0.00004,0.00001,-1.00000,-0.12580,-0.00674,0.42492,0.00003,1.00000,0.00001,-0.12578,-0.00036,0.21649,0.00010,0.00001,-1.00000,-0.12577,-0.00019,0.11056,-0.00008,1.00000,0.00001,-0.04621,-0.00000,0.04062,0.75107,0.00006,-0.66022
13.74600,0.00002,-0.00004,0.00001,-0.00006,-0.00011,-0.85167,0.66842,-0.12649,-0.02487,0.97329,-0.00000,0.00001,-1.00000,-0.12649,-0.01949,0.84491,0.00002,1.00000,0.00001,-0.12648,-0.01312,0.63453,0.00004,0.00001,-1.00000,-0.12647,-0.00674,0.42415,0.00003,1.00000,0.00001,-0.12645,-0.00036,0.21572,0.00010,0.00001,-1.00000,-0.12644,-0.00019,0.10979,-0.00008,1.00000,0.00001,-0.04646,-0.00000,0.04034,0.75509,0.00007,-0.65562
13.79700,0.00002,-0.00004,0.00001,-0.00006,-0.00011,-0.85790,0.66842,-0.12716,-0.02487,0.97251,-0.00000,0.00001,-1.00000,-0.12716,-0.01949,0.84413,0.00002,1.00000,0.00001,-0.12715,-0.01312,0.63375,0.00004,0.00001,-1.00000,-0.12714,-0.00674,0.42337,0.00003,1.00000,0.00001,-0.12712,-0.00036,0.21494,0.00010,0.00001,-1.00000,-0.12711,-0.00019,0.10901,-0.00008,1.00000,0.00001,-0.04670,-0.00000,0.04005,0.75908,0.00007,-0.65099
13.84800,0.00002,-0.00004,0.00001,-0.00006,-0.00011,-0.86413,0.66842,-0.12782,-0.02487,0.97173,-0.00000,0.00001,-1.00000,-0.12782,-0.01949,0.84335,0.00002,1.00000,0.00001,-0.12781,-0.01312,0.63297,0.00004,0.00001,-1.00000,-0.12781,-0.00674,0.42259,0.00003,1.00000,0.00001,-0.12779,-0.00036,0.21416,0.00010,0.00001,-1.00000,-0.12778,-0.00019,0.10823,-0.00008,1.00000,0.00001,-0.04695,-0.00000,0.03977,0.76305,0.00007,-0.64634
13.89900,0.00002,-0.00004,0.00001,-0.00006,-0.00011,-0.87036,0.66842,-0.12850,-0.02487,0.97093,-0.00000,0.00001,-1.00000,-0.12850,-0.01949,0.84255,0.00002,1.00000,0.00001,-0.12849,-0.01312,0.63217,0.00004,0.00001,-1.00000,-0.12848,-0.00674,0.42180,0.00003,1.00000,0.00001,-0.12846,-0.00036,0.21337,0.00010,0.00001,-1.00000,-0.12845,-0.00019,0.10744,-0.00008,1.00000,0.00001,-0.04719,-0.00000,0.03947,0.76706,0.00007,-0.64158
13.95000,0.00002,-0.00004,0.00001,-0.00006,-0.00011,-0.87659,0.66842,-0.12915,-0.02487,0.97015,-0.00000,0.00001,-1.00000,-0.12915,-0.01949,0.84177,0.00002,1.00000,0.00001,-0.12914,-0.01312,0.63139,0.00004,0.00001,-1.00000,-0.12913,-0.00674,0.42101,0.00003,1.00000,0.00001,-0.12911,-0.00036,0.21258,0.00010,0.00001,-1.00000,-0.12910,-0.00019,0.10665,-0.00008,1.00000,0.00001,-0.04743,-0.00000,0.03918,0.77097,0.00007,-0.63688
14.00100,0.00002,-0.00004,0.00001,-0.00006,-0.00011,-0.88282,0.66842,-0.12981,-0.02487,0.96934,-0.00000,0.00001,-1.00000,-0.12981,-0.01949,0.84096,0.00002,1.00000,0.00001,-0.12980,-0.01312,0.63058,0.00004,0.00001,-1.00000,-0.12979,-0.00674,0.42020,0.00003,1.00000,0.00001,-0.12977,-0.00036,0.21177,0.00010,0.00001,-1.00000,-0.12976,-0.00019,0.10584,-0.00008,1.00000,0.00001,-0.04768,-0.00000,0.03889,0.77492,0.00007,-0.63206
14.05200,0.00002,-0.00004,0.00001,-0.00006,-0.00011,-0.88905,0.66842,-0.13047,-0.02487,0.96853,-0.00000,0.00001,-1.00000,-0.13047,-0.01949,0.84015,0.00002,1.00000,0.00001,-0.13046,-0.01312,0.62977,0.00004,0.00001,-1.00000,-0.13045,-0.00674,0.41939,0.00003,1.00000,0.00001,-0.13043,-0.00036,0.21096,0.00010,0.00001,-1.00000,-0.13042,-0.00019,0.10503,-0.00009,1.00000,0.00001,-0.04792,-0.00000,0.03859,0.77884,0.00007,-0.62722
14.10300,0.00002,-0.00004,0.00001,-0.00006,-0.00012,-0.89529,0.66842,-0.13111,-0.02487,0.96773,-0.00000,0.00001,-1.00000,-0.13111,-0.01949,0.83935,0.00002,1.00000,0.00001,-0.13110,-0.01312,0.62897,0.00004,0.00001,-1.00000,-0.13109,-0.00674,0.41859,0.00003,1.00000,0.00001,-0.13107,-0.00036,0.21016,0.00010,0.00001,-1.00000,-0.13106,-0.00019,0.10423,-0.00009,1.00000,0.00001,-0.04815,-0.00000,0.03830,0.78266,0.00007,-0.62245
14.15500,0.00002,-0.00004,0.00001,-0.00006,-0.00012,-0.90164,0.66842,-0.13176,-0.02487,0.96691,-0.00000,0.00001,-1.00000,-0.13176,-0.01949,0.83853,0.00002,1.00000,0.00001,-0.13175,-0.01312,0.62815,0.00004,0.00001,-1.00000,-0.13174,-0.00674,0.41777,0.00003,1.00000,0.00001,-0.13172,-0.00036,0.20934,0.00010,0.00001,-1.00000,-0.13171,-0.00019,0.10341,-0.00009,1.00000,0.00001,-0.04839,-0.00000,0.03800,0.78652,0.00007,-0.61756
